subject, fuzzer, trial, total, tte, crashes
aspell_aspell_fuzzer, aflchurn_powadd, trial-755748, 82630, 1883,  4
aspell_aspell_fuzzer, aflchurn_powadd, trial-755746, 2684, 2651,  1
aspell_aspell_fuzzer, aflchurn_powadd, trial-755744, 82792, 9976,  7
aspell_aspell_fuzzer, aflchurn_powadd, trial-755751, 82644, 6529,  7
aspell_aspell_fuzzer, aflchurn_powadd, trial-755742, 82594, 2151,  1
aspell_aspell_fuzzer, aflchurn_powadd, trial-755745, 82770, 1217,  4
aspell_aspell_fuzzer, aflchurn_powadd, trial-755747, 82736, 1178,  3
aspell_aspell_fuzzer, aflchurn_powadd, trial-755750, 82729, 1312,  3
aspell_aspell_fuzzer, aflchurn_powadd, trial-755752, 82759, 1783,  5
aspell_aspell_fuzzer, aflchurn_powadd, trial-755757, 82759, 7749,  9
aspell_aspell_fuzzer, aflchurn_powadd, trial-755754, 82746, 10810,  13
aspell_aspell_fuzzer, aflchurn_powadd, trial-755758, 82786, 1705,  12
aspell_aspell_fuzzer, aflchurn_powadd, trial-755753, 82774, 1065,  4
aspell_aspell_fuzzer, aflchurn_powadd, trial-757849, 82674, 2877,  8
aspell_aspell_fuzzer, aflchurn_powadd, trial-755756, 2688, 988,  1
aspell_aspell_fuzzer, aflchurn_powadd, trial-755755, 82777, 1666,  7
aspell_aspell_fuzzer, aflchurn_powadd, trial-757927, 37749, 1331,  1
aspell_aspell_fuzzer, aflchurn_powadd, trial-755759, 82760, 3637,  12
aspell_aspell_fuzzer, aflchurn_powadd, trial-755760, 82786, 6420,  7
aspell_aspell_fuzzer, aflchurn_powadd, trial-763012, 80101, 2549,  5
aspell_aspell_fuzzer, aflchurn_powadd, trial-755749, 82784, Timeout,  0
aspell_aspell_fuzzer, aflchurn_rrank, trial-756082, 82772, 1620,  2
aspell_aspell_fuzzer, aflchurn_rrank, trial-756087, 82706, 1669,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-756081, 11691, 1537,  2
aspell_aspell_fuzzer, aflchurn_rrank, trial-756090, 61203, 1949,  9
aspell_aspell_fuzzer, aflchurn_rrank, trial-756085, 82784, 1988,  12
aspell_aspell_fuzzer, aflchurn_rrank, trial-756083, 82776, 1332,  8
aspell_aspell_fuzzer, aflchurn_rrank, trial-756086, 31454, 1791,  3
aspell_aspell_fuzzer, aflchurn_rrank, trial-756084, 5391, 1157,  1
aspell_aspell_fuzzer, aflchurn_rrank, trial-756088, 893, Timeout,  0
aspell_aspell_fuzzer, aflchurn_rrank, trial-756093, 10794, 2421,  2
aspell_aspell_fuzzer, aflchurn_rrank, trial-756091, 82792, 1552,  9
aspell_aspell_fuzzer, aflchurn_rrank, trial-756096, 81959, 10777,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-756089, 82752, 8348,  15
aspell_aspell_fuzzer, aflchurn_rrank, trial-756094, 82774, 2107,  13
aspell_aspell_fuzzer, aflchurn_rrank, trial-756098, 42282, 986,  4
aspell_aspell_fuzzer, aflchurn_rrank, trial-756099, 82786, 1750,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-758157, 82780, 2421,  22
aspell_aspell_fuzzer, aflchurn_rrank, trial-756097, 82790, 8086,  3
aspell_aspell_fuzzer, aflchurn_rrank, trial-756095, 82775, 9629,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-756092, 82709, 9880,  10
aspell_aspell_fuzzer, aflchurn_rrank, trial-763003, 80092, 2043,  2
aspell_aspell_fuzzer, aflchurn_rrank, trial-757977, 67488, 8483,  4
aspell_aspell_fuzzer, aflchurn_rrank, trial-756100, 82786, 2377,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-763058, 80104, 1580,  6
aspell_aspell_fuzzer, aflchurn_rrank, trial-762938, 78531, 1821,  3
aspell_aspell_fuzzer, aflchurn_rrank, trial-758141, 82741, 1763,  6
aspell_aspell_fuzzer, aflchurn_rrank, trial-763157, 79833, 1336,  5
aspell_aspell_fuzzer, aflchurn_rrank, trial-757713, 82439, 18703,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756444, 82749, 1576,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-756442, 82737, 1375,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-756451, 82657, 1042,  5
aspell_aspell_fuzzer, aflchurn_texp01, trial-756443, 82790, 8544,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756448, 82772, 8905,  7
aspell_aspell_fuzzer, aflchurn_texp01, trial-756447, 1792, 1632,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756449, 82792, 8804,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-756458, 9869, 6645,  2
aspell_aspell_fuzzer, aflchurn_texp01, trial-756453, 11617, 7481,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756452, 82778, 7108,  5
aspell_aspell_fuzzer, aflchurn_texp01, trial-756441, 82728, 1624,  9
aspell_aspell_fuzzer, aflchurn_texp01, trial-756459, 8986, 7719,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756450, 82764, 8511,  5
aspell_aspell_fuzzer, aflchurn_texp01, trial-756446, 82085, 16038,  9
aspell_aspell_fuzzer, aflchurn_texp01, trial-756455, 82742, 7122,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-758009, 82767, 4290,  11
aspell_aspell_fuzzer, aflchurn_texp01, trial-756454, 82645, 9072,  14
aspell_aspell_fuzzer, aflchurn_texp01, trial-757770, 82791, 7520,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-756457, 82610, 8760,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-757684, 82778, 6471,  9
aspell_aspell_fuzzer, aflchurn_texp01, trial-756456, 6285, Timeout,  0
aspell_aspell_fuzzer, aflchurn_texp01, trial-756460, 82646, 8303,  6
aspell_aspell_fuzzer, aflchurn_texp01, trial-758121, 82724, 1327,  1
aspell_aspell_fuzzer, aflchurn_texp01, trial-758159, 82675, 2750,  5
aspell_aspell_fuzzer, aflchurn_texp01, trial-758086, 82773, 6511,  5
aspell_aspell_fuzzer, aflchurn_texp03, trial-756825, 82790, 894,  9
aspell_aspell_fuzzer, aflchurn_texp03, trial-756830, 892, Timeout,  0
aspell_aspell_fuzzer, aflchurn_texp03, trial-756823, 82775, 1298,  17
aspell_aspell_fuzzer, aflchurn_texp03, trial-756827, 82775, 17116,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756826, 82755, 14387,  20
aspell_aspell_fuzzer, aflchurn_texp03, trial-756829, 15280, 2253,  1
aspell_aspell_fuzzer, aflchurn_texp03, trial-756822, 82725, 10412,  10
aspell_aspell_fuzzer, aflchurn_texp03, trial-756832, 82132, 1625,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756824, 82556, 8371,  3
aspell_aspell_fuzzer, aflchurn_texp03, trial-756836, 13469, 1338,  1
aspell_aspell_fuzzer, aflchurn_texp03, trial-756828, 82687, 8375,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756831, 82792, 1198,  6
aspell_aspell_fuzzer, aflchurn_texp03, trial-756833, 82781, 8170,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756834, 82782, 943,  10
aspell_aspell_fuzzer, aflchurn_texp03, trial-758240, 82740, 2817,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756835, 82774, 1273,  3
aspell_aspell_fuzzer, aflchurn_texp03, trial-757776, 82714, 959,  4
aspell_aspell_fuzzer, aflchurn_texp03, trial-756838, 82758, 18944,  3
aspell_aspell_fuzzer, aflchurn_texp03, trial-756837, 81009, 8355,  7
aspell_aspell_fuzzer, aflchurn_texp03, trial-756839, 4492, 1135,  1
aspell_aspell_fuzzer, aflchurn_texp03, trial-757685, 82782, 1212,  12
aspell_aspell_fuzzer, aflchurn_texp03, trial-763035, 79979, 1175,  8
aspell_aspell_fuzzer, aflchurn_texp03, trial-756840, 82749, 1693,  6
aspell_aspell_fuzzer, aflchurn_texp03, trial-757978, 82089, 8928,  2
aspell_aspell_fuzzer, aflchurn_texp03, trial-763213, 80103, 8259,  1
aspell_aspell_fuzzer, aflchurn_texp03, trial-758184, 35992, Timeout,  0
aspell_aspell_fuzzer, aflchurn_texp05, trial-757201, 82301, 1969,  7
aspell_aspell_fuzzer, aflchurn_texp05, trial-757212, 3593, 1012,  1
aspell_aspell_fuzzer, aflchurn_texp05, trial-757207, 82793, 1343,  10
aspell_aspell_fuzzer, aflchurn_texp05, trial-757202, 82762, 1943,  5
aspell_aspell_fuzzer, aflchurn_texp05, trial-757203, 59736, 6911,  7
aspell_aspell_fuzzer, aflchurn_texp05, trial-757208, 82611, 1495,  24
aspell_aspell_fuzzer, aflchurn_texp05, trial-757204, 82766, 8989,  9
aspell_aspell_fuzzer, aflchurn_texp05, trial-757206, 82777, 1566,  13
